shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
SANTA_CRUZER,36.972561,-122.025693,1,0
SANTA_CRUZER,36.975339,-122.026557,2,0.318
SANTA_CRUZER,36.975171,-122.02731,3,0.388
SANTA_CRUZER,36.975086,-122.027788,4,0.431
SANTA_CRUZER,36.973312,-122.02718,5,0.636
SANTA_CRUZER,36.972873,-122.027074,6,0.685
SANTA_CRUZER,36.972493,-122.027072,7,0.728
SANTA_CRUZER,36.972205,-122.027031,8,0.76
SANTA_CRUZER,36.971803,-122.026997,9,0.805
SANTA_CRUZER,36.970749,-122.026697,10,0.925
SANTA_CRUZER,36.969995,-122.026504,11,1.011
SANTA_CRUZER,36.970252,-122.02513,12,1.136
SANTA_CRUZER,36.9684,-122.024712,13,1.345
SANTA_CRUZER,36.96672,-122.024454,14,1.533
SANTA_CRUZER,36.965649,-122.025334,15,1.676
SANTA_CRUZER,36.96492,-122.02631,16,1.795
SANTA_CRUZER,36.963671,-122.02488,17,1.983
SANTA_CRUZER,36.963453,-122.024617,18,2.016
SANTA_CRUZER,36.963131,-122.024311,19,2.061
SANTA_CRUZER,36.962913,-122.024204,20,2.087
SANTA_CRUZER,36.962746,-122.024086,21,2.109
SANTA_CRUZER,36.962664,-122.023909,22,2.127
SANTA_CRUZER,36.962703,-122.023732,23,2.143
SANTA_CRUZER,36.962801,-122.023689,24,2.155
SANTA_CRUZER,36.962913,-122.023759,25,2.169
SANTA_CRUZER,36.962977,-122.023925,26,2.185
SANTA_CRUZER,36.963111,-122.024111,27,2.207
SANTA_CRUZER,36.963605,-122.024631,28,2.279
SANTA_CRUZER,36.96489,-122.02608,29,2.471
SANTA_CRUZER,36.965581,-122.025253,30,2.578
SANTA_CRUZER,36.96666,-122.024369,31,2.721
SANTA_CRUZER,36.968405,-122.024626,32,2.917
SANTA_CRUZER,36.970891,-122.025188,33,3.197
SANTA_CRUZER,36.972406,-122.025647,34,3.371
SANTA_CRUZER_IB_ONLY,36.963445,-122.024584,1,0
SANTA_CRUZER_IB_ONLY,36.963231,-122.024379,2,0.03
SANTA_CRUZER_IB_ONLY,36.962987,-122.024224,3,0.06
SANTA_CRUZER_IB_ONLY,36.962819,-122.024131,4,0.081
SANTA_CRUZER_IB_ONLY,36.962721,-122.02401,5,0.096
SANTA_CRUZER_IB_ONLY,36.962695,-122.023908,6,0.106
SANTA_CRUZER_IB_ONLY,36.962704,-122.023785,7,0.117
SANTA_CRUZER_IB_ONLY,36.962776,-122.023707,8,0.127
SANTA_CRUZER_IB_ONLY,36.96289,-122.023731,9,0.14
SANTA_CRUZER_IB_ONLY,36.962953,-122.023811,10,0.15
SANTA_CRUZER_IB_ONLY,36.963004,-122.024005,11,0.168
SANTA_CRUZER_IB_ONLY,36.963981,-122.025083,12,0.313
SANTA_CRUZER_IB_ONLY,36.964881,-122.026121,13,0.449
SANTA_CRUZER_IB_ONLY,36.965387,-122.025474,14,0.53
SANTA_CRUZER_IB_ONLY,36.966128,-122.024812,15,0.631
SANTA_CRUZER_IB_ONLY,36.966523,-122.02448,16,0.684
SANTA_CRUZER_IB_ONLY,36.96672,-122.024372,17,0.708
SANTA_CRUZER_IB_ONLY,36.96924,-122.024823,18,0.991
SANTA_CRUZER_IB_ONLY,36.970742,-122.025145,19,1.16
SANTA_CRUZER_IB_ONLY,36.972372,-122.025633,20,1.346
