trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,continuous_pickup,continuous_drop_off,shape_dist_traveled,timepoint
803201,12:00:00,12:00:00,802,1,,,,,,0,1
803201,12:06:00,12:15:00,800,2,DROP OFF ONLY,1,,,,1.346,1
803101,12:00:00,12:00:00,800,1,,,,,,0,1
803101,12:03:00,12:05:00,801,2,,,,,,0.388,1
803101,12:13:00,12:15:00,802,3,Downtown,,,,,2.016,1
803101,12:21:00,12:30:00,800,4,DROP OFF ONLY,1,,,,3.371,1
803102,12:30:00,12:30:00,800,1,,,,,,0,1
803102,12:33:00,12:35:00,801,2,,,,,,0.388,1
803102,12:43:00,12:45:00,802,3,Downtown,,,,,2.016,1
803102,12:51:00,13:00:00,800,4,DROP OFF ONLY,1,,,,3.371,1
803103,13:00:00,13:00:00,800,1,,,,,,0,1
803103,13:03:00,13:05:00,801,2,,,,,,0.388,1
803103,13:13:00,13:15:00,802,3,Downtown,,,,,2.016,1
803103,13:23:00,13:30:00,800,4,DROP OFF ONLY,1,,,,3.371,1
803104,13:30:00,13:30:00,800,1,,,,,,0,1
803104,13:33:00,13:35:00,801,2,,,,,,0.388,1
803104,13:45:00,13:45:00,802,3,Downtown,,,,,2.016,1
803104,13:53:00,14:00:00,800,4,DROP OFF ONLY,1,,,,3.371,1
803105,14:00:00,14:00:00,800,1,,,,,,0,1
803105,14:03:00,14:05:00,801,2,,,,,,0.388,1
803105,14:15:00,14:15:00,802,3,Downtown,,,,,2.016,1
803105,14:23:00,14:30:00,800,4,DROP OFF ONLY,1,,,,3.371,1
803106,14:30:00,14:30:00,800,1,,,,,,0,1
803106,14:33:00,14:35:00,801,2,,,,,,0.388,1
803106,14:45:00,14:45:00,802,3,Downtown,,,,,2.016,1
803106,14:53:00,15:00:00,800,4,DROP OFF ONLY,1,,,,3.371,1
803107,15:00:00,15:00:00,800,1,,,,,,0,1
803107,15:03:00,15:05:00,801,2,,,,,,0.388,1
803107,15:15:00,15:15:00,802,3,Downtown,,,,,2.016,1
803107,15:23:00,15:30:00,800,4,DROP OFF ONLY,1,,,,3.371,1
803108,15:30:00,15:30:00,800,1,,,,,,0,1
803108,15:33:00,15:35:00,801,2,,,,,,0.388,1
803108,15:43:00,15:45:00,802,3,Downtown,,,,,2.016,1
803108,15:53:00,16:00:00,800,4,DROP OFF ONLY,1,,,,3.371,1
803109,16:00:00,16:00:00,800,1,,,,,,0,1
803109,16:03:00,16:05:00,801,2,,,,,,0.388,1
803109,16:13:00,16:15:00,802,3,Downtown,,,,,2.016,1
803109,16:23:00,16:30:00,800,4,DROP OFF ONLY,1,,,,3.371,1
803110,16:30:00,16:30:00,800,1,,,,,,0,1
803110,16:33:00,16:35:00,801,2,,,,,,0.388,1
803110,16:43:00,16:45:00,802,3,Downtown,,,,,2.016,1
803110,16:53:00,17:00:00,800,4,DROP OFF ONLY,1,,,,3.371,1
803111,17:00:00,17:00:00,800,1,,,,,,0,1
803111,17:03:00,17:05:00,801,2,,,,,,0.388,1
803111,17:13:00,17:15:00,802,3,Downtown,,,,,2.016,1
803111,17:21:00,17:30:00,800,4,DROP OFF ONLY,1,,,,3.371,1
803112,17:30:00,17:30:00,800,1,,,,,,0,1
803112,17:33:00,17:35:00,801,2,,,,,,0.388,1
803112,17:41:00,17:45:00,802,3,Downtown,,,,,2.016,1
803112,17:51:00,18:00:00,800,4,DROP OFF ONLY,1,,,,3.371,1
803113,18:00:00,18:00:00,800,1,,,,,,0,1
803113,18:03:00,18:05:00,801,2,,,,,,0.388,1
803113,18:11:00,18:15:00,802,3,Downtown,,,,,2.016,1
803113,18:21:00,18:30:00,800,4,DROP OFF ONLY,1,,,,3.371,1
803114,18:30:00,18:30:00,800,1,,,,,,0,1
803114,18:33:00,18:35:00,801,2,,,,,,0.388,1
